,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Centros,Juego asociado,Juego aéreo,Defensa
45,Ramón Terrats,Getafe,Getafe,España | Primera División 24/25,"RW, RCMF",24.0,181,Spain,Spain,2026-06-30,left,22,1159,79.09,46.11,32.81,11.9,55.52,79.48,57.86
46,Juan Bernat,Getafe,Getafe,España | Primera División 24/25,"LW, LB",32.0,170,Spain,Spain,2025-06-30,left,22,974,20.46,50.44,45.19,63.05,32.12,78.81,74.58
47,T. Asano,Mallorca,Mallorca,España | Primera División 24/25,"RW, RAMF, RWF",30.0,173,Japan,Japan,2026-06-30,right,20,1066,66.55,31.03,31.62,22.67,33.45,50.45,62.58
48,Carlos Vicente,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"RAMF, RW",26.0,179,Spain,Spain,2027-06-30,right,33,3032,61.04,71.59,61.1,81.24,30.48,57.59,44.54
49,Rodri Sánchez,Al Arabi,Real Betis,España | Primera División 24/25,RAMF,24.0,175,Spain,Spain,2027-06-30,left,3,132,33.59,45.49,60.62,41.81,68.4,10.31,28.38
50,Chiquinho,Mallorca,Mallorca,España | Primera División 24/25,"LW, CF, RAMF",25.0,175,Portugal,"Portugal, Cape Verde Islands",2026-06-30,right,8,197,31.69,24.07,55.64,5.86,14.86,31.52,76.33
51,Álvaro García,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"LAMF, LW, CF",32.0,167,Spain,Spain,2028-06-30,left,32,2462,61.37,79.87,44.07,88.67,47.95,27.62,56.07
52,Peter González,Getafe,Getafe,España | Primera División 24/25,"RW, LW",22.0,180,Spain,"Spain, Dominican Republic",2028-06-30,left,15,494,33.15,34.97,10.95,81.57,14.79,78.71,69.14
53,Iago Aspas,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"RWF, CF, AMF",37.0,176,Spain,Spain,2026-06-30,left,27,1765,90.31,77.63,38.62,17.48,83.05,30.62,16.77
54,G. Simeone,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,RW,22.0,173,Argentina,"Argentina, Spain",2028-06-30,right,29,1843,53.76,72.8,44.21,40.67,54.1,58.33,51.27
55,Carles Aleñà,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LAMF, LW, RW",27.0,180,Spain,Spain,2026-06-30,left,20,1353,29.1,38.87,26.24,20.38,43.5,80.09,46.55
56,N. Ünüvar,Twente,Espanyol,España | Primera División 24/25,"LW, LB",21.0,168,Netherlands,"Netherlands, Türkiye",2026-06-30,right,2,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Raúl Moro,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LW, LAMF, RW",22.0,169,Spain,Spain,2028-06-30,right,29,2209,70.46,75.73,83.21,89.29,48.98,32.86,6.07
58,Sergi Canós,Valencia,Valencia,España | Primera División 24/25,"LW, RW, LAMF",28.0,177,Spain,Spain,2027-06-30,right,16,456,34.72,43.04,31.45,42.43,41.17,80.69,66.12
59,Óscar Rodríguez,Leganés,Leganés,España | Primera División 24/25,"LW, AMF",26.0,174,Spain,Spain,2026-06-30,right,26,1404,45.0,58.34,25.38,37.24,61.19,48.83,39.49
60,Valery Fernández,Mallorca,Mallorca,España | Primera División 24/25,"RW, LW, RB",25.0,182,Spain,Spain,2026-06-30,right,17,397,72.19,17.81,7.81,36.0,28.21,12.67,19.81
61,Rubén García,Osasuna,Osasuna,España | Primera División 24/25,"RW, CF, RWF",31.0,171,Spain,Spain,2026-06-30,right,33,2368,70.41,65.78,20.29,60.19,60.02,63.55,70.09
62,Carles Pérez,Getafe,Getafe,España | Primera División 24/25,"RW, RAMF, LW",27.0,173,Spain,Spain,2027-06-30,left,27,1589,68.73,34.64,48.95,39.43,35.88,65.78,46.38
63,Antonio Sánchez,Mallorca,Mallorca,España | Primera División 24/25,"RW, RB, RCMF",28.0,179,Spain,Spain,2027-06-30,right,29,1368,21.9,20.05,28.67,17.71,58.38,32.52,80.95
64,Manu Fuster,Las Palmas,Las Palmas,España | Primera División 24/25,"RAMF, LW, LAMF",27.0,169,Spain,Spain,2028-06-30,right,24,927,68.04,67.72,41.64,77.19,70.02,47.93,68.1
65,Pere Milla,Espanyol,Espanyol,España | Primera División 24/25,"LAMF, AMF, LW",32.0,180,Spain,Spain,2027-06-30,left,16,402,66.52,25.14,40.98,25.38,32.14,55.24,73.93
66,Rubén Peña,Osasuna,Osasuna,España | Primera División 24/25,"RWF, RW, RB",33.0,170,Spain,Spain,2025-06-30,right,23,809,27.57,37.18,27.02,59.38,38.88,56.81,71.51
67,Adrià Altimira,Leganés,Leganés,España | Primera División 24/25,"RB, LAMF",24.0,170,Spain,Spain,2026-06-30,right,18,1375,21.22,26.83,33.36,37.14,42.93,65.28,77.01
68,Germán Valera,Elche,Valencia,España | Primera División 24/25,"LW, RW",22.0,170,Spain,"Spain, Venezuela",2028-06-30,left,8,191,24.47,21.32,23.4,58.38,24.07,32.31,39.73
69,Nacho Vidal,Real Oviedo,Osasuna,España | Primera División 24/25,RB,30.0,180,Spain,Spain,2025-06-30,right,5,159,19.89,10.68,11.64,5.38,26.1,85.48,57.88
70,D. Machís,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LW, RW, RAMF",32.0,171,Venezuela,"Venezuela, Spain",2026-06-30,right,17,693,26.37,52.19,49.07,61.33,55.71,72.74,33.69
71,A. Januzaj,Las Palmas,Las Palmas,España | Primera División 24/25,"RW, RAMF, RCMF",30.0,186,Belgium,"Belgium, Kosovo",2026-06-30,left,14,492,78.54,69.02,86.71,87.9,85.02,50.38,48.27
72,José Arnáiz,Osasuna,Osasuna,España | Primera División 24/25,"LW, LCMF",30.0,173,Spain,Spain,2025-06-30,right,13,187,26.67,62.91,61.83,91.95,29.36,80.43,70.45
73,Kike Barja,Osasuna,Osasuna,España | Primera División 24/25,"LWF, LW, RAMF",28.0,179,Spain,Spain,2026-06-30,right,12,328,29.97,53.75,62.17,87.43,28.64,83.14,29.93
74,Álvaro Tejero,Espanyol,Espanyol,España | Primera División 24/25,"RW, RB",28.0,172,Spain,Spain,2025-06-30,right,26,1346,43.08,73.13,38.6,66.48,64.79,78.98,45.23
75,Adri Embarba,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"LW, LAMF, RAMF",32.0,173,Spain,Spain,2026-06-30,right,32,1654,44.65,43.67,49.29,67.43,49.24,35.71,60.33
76,Jofre Carreras,Espanyol,Espanyol,España | Primera División 24/25,"RW, RAMF, LW",23.0,173,Spain,Spain,2029-06-30,right,33,2167,59.61,40.21,70.9,35.67,32.83,13.14,44.66
77,Enric Franquesa,Leganés,Leganés,España | Primera División 24/25,"LAMF, LB",28.0,174,Spain,Spain,2026-06-30,left,12,695,46.82,20.69,35.95,61.33,34.52,62.67,77.66
78,A. Ndiaye,Real Valladolid,Real Valladolid,España | Primera División 24/25,"RW, LB, LAMF",28.0,173,Senegal,"Senegal, Spain",2027-06-30,right,11,414,29.37,25.67,24.67,24.48,30.64,18.98,46.82
79,Sandro Ramírez,Las Palmas,Las Palmas,España | Primera División 24/25,"RW, RAMF",29.0,175,Spain,Spain,2026-06-30,right,29,2064,91.89,56.2,32.98,30.0,32.6,68.57,33.93
80,Duk,Leganés,Leganés,España | Primera División 24/25,"LW, LAMF, RB",25.0,182,Portugal,"Portugal, Cape Verde Islands",2025-05-31,right,7,187,24.74,64.75,82.33,88.38,20.48,70.83,82.61
81,Juan Cruz,Leganés,Leganés,España | Primera División 24/25,"RW, RAMF, LB",25.0,177,Argentina,"Argentina, Spain",2028-06-30,left,32,2271,66.4,55.29,47.38,54.1,48.5,50.48,22.42
82,Denis Suárez,Villarreal,Villarreal,España | Primera División 24/25,"LW, RW",31.0,176,Spain,Spain,2026-06-30,right,20,630,56.61,62.13,36.33,66.95,54.29,15.59,35.81
83,F. Cervi,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"LAMF, LWB, RWF",30.0,166,Argentina,"Argentina, Italy",2026-06-30,left,6,278,19.89,28.18,11.07,31.24,60.05,61.59,56.88
84,Nico Serrano,Sporting Gijón,Athletic Bilbao,España | Primera División 24/25,RAMF,21.0,176,Spain,Spain,2028-06-30,left,4,131,34.03,23.4,66.24,76.29,32.64,10.59,82.93
85,D. Brašanac,Leganés,Leganés,España | Primera División 24/25,"LW, AMF, RDMF",33.0,178,Serbia,Serbia,2025-06-30,right,27,1731,40.74,29.28,3.71,11.14,28.57,66.52,48.33
86,Pejiño,Elche,Las Palmas,España | Primera División 24/25,RAMF,28.0,177,Spain,Spain,2026-06-30,left,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Iván Sánchez,Real Valladolid,Real Valladolid,España | Primera División 24/25,"RW, RAMF",32.0,169,Spain,Spain,2025-06-30,left,29,1429,54.9,50.01,77.55,95.19,49.69,64.05,50.43
88,A. Tuhami,Real Valladolid,Real Valladolid,España | Primera División 24/25,"RW, LW, RAMF",30.0,174,Spain,"Spain, Morocco",2025-06-30,right,22,1609,56.0,24.73,28.36,12.86,26.55,67.24,88.26
89,A. Rebbach,Granada,Deportivo Alavés,España | Primera División 24/25,"LAMF, LW",26.0,176,Algeria,"Algeria, Spain",2028-06-30,right,8,442,24.54,33.77,69.36,78.0,23.69,48.95,23.64
90,Iker Benito,Mirandés,Osasuna,España | Primera División 24/25,"LW, LCMF",22.0,177,Spain,Spain,2027-06-30,right,2,48,19.89,12.44,77.38,12.48,36.74,13.95,6.04
91,D. Luna,Cartagena,Mallorca,España | Primera División 24/25,RW,21.0,178,Colombia,Colombia,2027-06-30,left,2,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Alfon González,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"LWF, LW, RWF",26.0,172,Spain,Spain,2025-06-30,right,23,1333,82.56,63.79,79.88,40.05,47.86,29.09,9.33
93,John Patrick,Reims,Getafe,España | Primera División 24/25,"LW, CF, DMF",21.0,192,Spain,"Spain, Republic of Ireland",2025-06-30,right,4,71,25.95,11.3,22.21,4.86,31.74,83.9,86.23
94,Antoniu Roca,Espanyol,Espanyol,España | Primera División 24/25,"RW, RAMF, LAMF",22.0,175,Spain,Spain,2025-06-30,right,23,997,23.82,41.17,72.55,52.95,36.95,34.24,51.82
95,David Argüelles,Getafe,Getafe,España | Primera División 24/25,LW,23.0,175,Spain,Spain,2025-06-30,left,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Ferrán Ruiz,Girona,Girona,España | Primera División 24/25,RAMF,21.0,172,Spain,Spain,2026-06-30,right,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,P. Dame Ba,Girona,Girona,España | Primera División 24/25,RW,20.0,0,Senegal,Senegal,,left,1,59,21.76,15.54,58.07,7.0,14.6,5.88,60.65
98,Isra Domínguez,Sevilla,Sevilla,España | Primera División 24/25,LAMF,21.0,175,Spain,Spain,2027-06-30,right,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Alberto Risco,Getafe B,Getafe,España | Primera División 24/25,"LW, LAMF, CF",19.0,0,Spain,Spain,2026-06-30,left,5,106,33.57,47.21,46.48,98.48,41.07,47.09,80.71
100,Abdoulaye Keita,Getafe B,Getafe,España | Primera División 24/25,"RW, LW",22.0,186,Spain,"Spain, Senegal",2025-06-30,right,3,109,23.02,10.58,20.19,55.71,28.24,89.9,48.85
101,Dani Díaz,Real Sociedad B,Real Sociedad,España | Primera División 24/25,RW,18.0,0,Spain,Spain,,unknown,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Endika Buján,Bilbao Athletic,Athletic Bilbao,España | Primera División 24/25,LAMF,22.0,170,Spain,Spain,2025-06-30,left,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,David Otorbi,Valencia Mestalla,Valencia,España | Primera División 24/25,RW,17.0,180,Spain,"Spain, Nigeria",2026-06-30,right,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Martín Tejón,Valencia,Valencia,España | Primera División 24/25,"RW, LW, CF",20.0,165,Spain,Spain,2026-06-30,right,4,69,19.89,16.95,80.86,9.86,54.88,19.24,84.45
105,Valentin Pezzolesi,Las Palmas,Las Palmas,España | Primera División 24/25,RB,17.0,0,Spain,"Spain, Argentina",2027-06-30,right,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Adu Ares,Real Zaragoza,Athletic Bilbao,España | Primera División 24/25,RAMF,23.0,183,Spain,"Spain, Guinea-Bissau",2027-06-30,right,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Gorka Rivera,Getafe B,Getafe,España | Primera División 24/25,"LW, LB, LCB",20.0,175,Spain,Spain,,left,1,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Daniel Yáñez,Real Madrid U19,Real Madrid,España | Primera División 24/25,RAMF,17.0,177,Spain,Spain,,left,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Iker Almena,Al Qadisiyah,Girona,España | Primera División 24/25,RW,20.0,176,Spain,Spain,2028-06-30,left,2,58,25.87,73.44,92.0,77.24,67.19,5.88,11.33
110,Diego Hormigo,Sevilla Atlético,Sevilla,España | Primera División 24/25,LAMF,22.0,182,Spain,Spain,2025-06-30,left,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Dani Rodríguez,Barcelona Atlètic,Barcelona,España | Primera División 24/25,RAMF,19.0,175,Spain,Spain,2027-06-30,left,1,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Y. Diomande,Leganés,Leganés,España | Primera División 24/25,"LW, RWF",18.0,0,Spain,Spain,,unknown,6,261,26.53,36.17,83.67,49.52,29.29,41.81,27.23
113,S. Idumbo,Sevilla,Sevilla,España | Primera División 24/25,"LAMF, LW, RAMF",19.0,170,Belgium,"Belgium, Congo DR",2028-06-30,right,14,351,61.72,32.93,50.0,5.0,27.48,59.09,36.08
114,Jon Magunazelaia,Córdoba,Real Sociedad,España | Primera División 24/25,"RW, LW",23.0,181,Spain,Spain,2026-06-30,right,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,E. Eyong,Villarreal,Villarreal,España | Primera División 24/25,LW,21.0,181,Cameroon,Cameroon,,right,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Arnau Solà,Villarreal B,Villarreal,España | Primera División 24/25,LW,22.0,179,Spain,Spain,2027-06-30,left,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Coba da Costa,Getafe,Getafe,España | Primera División 24/25,LW,22.0,0,Spain,"Spain, Guinea",2025-06-30,right,16,950,53.04,72.0,63.24,75.57,25.86,82.76,72.67
118,Lamine Yamal,Barcelona,Barcelona,España | Primera División 24/25,"RAMF, RWF",17.0,180,Spain,"Spain, Equatorial Guinea",2026-06-30,left,31,2725,78.18,94.17,90.21,81.14,86.95,20.24,26.88
119,Marc Domenech,Mallorca U19,Mallorca,España | Primera División 24/25,"LAMF, LWF, CF",18.0,0,Spain,Spain,,left,7,234,27.26,43.07,14.02,76.38,19.67,84.67,27.82
120,Fer López,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"RWF, RW, CF",20.0,188,Spain,Spain,2028-06-30,left,14,604,78.73,60.61,32.95,5.19,81.26,15.14,56.84
121,Jesús Rodríguez,Real Betis,Real Betis,España | Primera División 24/25,"LAMF, RAMF",19.0,0,Spain,Spain,2029-06-30,right,18,1061,66.83,38.59,90.29,19.14,40.64,35.86,58.18
122,Pablo García,Betis Deportivo,Real Betis,España | Primera División 24/25,RAMF,18.0,0,Spain,Spain,,left,2,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Pau Cabanes,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"RW, RAMF",20.0,179,Spain,Spain,2026-06-30,right,15,430,65.71,43.08,81.19,47.43,53.5,56.59,81.18
124,Carlos Martín,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LAMF, LW, CF",23.0,180,Spain,Spain,2029-06-30,right,24,1406,61.8,42.86,17.14,44.86,38.14,71.95,88.37
125,B. Saka,Arsenal,Arsenal,Inglaterra | Primera División 24/25,"RWF, RW",23.0,178,England,"England, Nigeria",2027-06-30,left,22,1682,74.12,92.32,73.39,89.57,72.2,44.75,29.59
126,L. Díaz,Liverpool,Liverpool,Inglaterra | Primera División 24/25,"LAMF, CF",28.0,180,Colombia,Colombia,2027-06-30,right,33,2413,91.69,82.01,65.0,41.56,75.19,61.0,41.74
127,Gabriel Martinelli,Arsenal,Arsenal,Inglaterra | Primera División 24/25,"LWF, LW, RWF",23.0,178,Brazil,"Brazil, Italy",2027-06-30,right,30,2218,74.23,69.06,67.5,80.54,43.79,54.12,32.64
128,J. Doku,Manchester City,Manchester City,Inglaterra | Primera División 24/25,"LAMF, LW",22.0,173,Belgium,"Belgium, Ghana",2028-06-30,right,26,1535,53.8,87.01,96.24,67.74,85.86,8.42,52.27
129,M. Rashford,Aston Villa,Aston Villa,Inglaterra | Primera División 24/25,"LAMF, CF, RAMF",27.0,186,England,"England, St. Kitts and Nevis",2028-06-30,right,25,1552,77.82,69.68,32.61,60.43,44.3,53.56,23.85
130,J. Grealish,Manchester City,Manchester City,Inglaterra | Primera División 24/25,"LAMF, LW, LDMF",29.0,180,England,"England, Republic of Ireland",2027-06-30,right,19,811,41.18,77.59,84.41,39.46,69.27,9.31,44.44
131,A. Gordon,Newcastle United,Newcastle United,Inglaterra | Primera División 24/25,"LWF, CF, LW",24.0,183,England,England,2026-06-30,right,31,2418,62.95,81.79,77.1,77.74,75.83,28.85,27.37
132,E. Eze,Crystal Palace,Crystal Palace,Inglaterra | Primera División 24/25,"LWF, LW, AMF",26.0,173,England,"England, Nigeria",2027-06-30,right,31,2614,57.77,70.21,47.74,43.76,59.01,29.07,26.61
133,Mohamed Salah,Liverpool,Liverpool,Inglaterra | Primera División 24/25,RAMF,32.0,175,Egypt,Egypt,2027-06-30,left,35,3409,97.88,92.49,40.97,66.99,76.24,27.35,15.58
