,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Progresion de pelota,Juego asociado,Juego aéreo,1v1 en defensa,Defensa
16,Mika Mármol,Las Palmas,Las Palmas,España | Primera División 24/25,"LB, LCB",23.0,182,Spain,Spain,2026-06-30,left,27,2366,39.03,87.84,48.23,85.19,58.96,33.94,51.36,63.31
17,L. Badé,Sevilla,Sevilla,España | Primera División 24/25,RCB,25.0,191,France,"France, Côte d'Ivoire",2029-06-30,right,29,2814,61.15,55.13,78.88,40.83,57.74,68.31,39.85,40.65
18,Logan Costa,Villarreal,Villarreal,España | Primera División 24/25,LCB,24.0,190,France,"France, Cape Verde Islands",2030-06-30,right,28,2491,77.2,48.39,44.44,64.17,71.97,50.44,29.76,39.94
19,Natan,Real Betis,Real Betis,España | Primera División 24/25,LCB,24.0,188,Brazil,Brazil,2028-06-30,left,27,2050,68.6,51.07,46.55,39.32,53.98,80.06,34.61,47.92
20,L. Krejčí,Girona,Girona,España | Primera División 24/25,"LCB, CB",26.0,191,Czech Republic,Czech Republic,2029-06-30,left,25,2377,84.76,71.22,55.44,89.64,71.02,61.17,29.98,39.09
21,C. Lenglet,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,LCB,29.0,186,France,France,2026-06-30,left,21,1948,71.64,52.23,79.25,78.76,60.87,38.7,54.83,42.19
22,S. McKenna,Las Palmas,Las Palmas,España | Primera División 24/25,LCB,28.0,189,Scotland,Scotland,2027-06-30,left,27,2536,33.44,37.07,30.68,23.67,51.5,74.28,52.52,54.47
23,Reinildo,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LB, LCB",31.0,180,Mozambique,Mozambique,2025-06-30,left,19,1042,35.13,44.82,83.79,71.97,48.47,22.87,22.96,50.33
24,Yeray Álvarez,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"LCB, RCB",30.0,182,Spain,Spain,2026-06-30,right,19,1738,64.65,61.22,36.24,85.41,50.34,66.18,41.04,69.52
25,A. Abqar,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,RCB,26.0,188,Morocco,Morocco,2025-06-30,right,29,2747,46.02,72.89,55.19,46.04,26.55,38.79,37.62,40.04
26,Diego Llorente,Real Betis,Real Betis,España | Primera División 24/25,"LCB, RCB",31.0,186,Spain,Spain,2028-06-30,right,30,2775,75.75,57.44,69.08,57.23,70.8,83.32,64.47,62.6
27,Unai Núñez,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"RCB, LCB",28.0,186,Spain,Spain,2027-06-30,right,8,634,35.84,61.12,34.98,49.64,44.61,57.14,26.07,50.17
28,C. Starfelt,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"CB, RCB",29.0,187,Sweden,Sweden,2027-06-30,right,28,2497,59.12,40.5,18.06,32.09,69.22,69.55,82.52,56.5
29,Jorge Herrando,Osasuna,Osasuna,España | Primera División 24/25,LCB,24.0,192,Spain,Spain,2027-06-30,left,18,1515,75.63,30.01,68.5,49.05,46.84,52.76,31.02,17.84
30,M. Valjent,Mallorca,Mallorca,España | Primera División 24/25,RCB,29.0,187,Slovakia,Slovakia,2029-06-30,right,28,2716,79.55,45.79,71.53,50.61,53.33,39.87,28.3,32.38
31,Aritz Elustondo,Real Sociedad,Real Sociedad,España | Primera División 24/25,"LCB, RCB, RB",31.0,180,Spain,Spain,2026-06-30,right,19,1305,40.0,54.2,64.2,69.81,48.98,58.82,40.58,71.24
32,R. Tapia,Leganés,Leganés,España | Primera División 24/25,"RCMF, RDMF, LCB",29.0,185,Peru,"Peru, Netherlands",2026-06-30,right,30,2292,65.43,49.75,88.79,19.78,42.5,12.24,37.33,70.05
33,W. Kambwala,Villarreal,Villarreal,España | Primera División 24/25,"RCB, LCB",20.0,192,Congo DR,"Congo DR, France",2029-06-30,right,15,1038,41.65,29.33,40.8,17.16,39.42,24.72,30.34,28.12
34,O. Alderete,Getafe,Getafe,España | Primera División 24/25,LCB,28.0,188,Paraguay,Paraguay,2028-06-30,left,31,2999,69.09,75.78,46.72,74.1,21.09,86.33,26.6,51.94
35,Íñigo Martínez,Barcelona,Barcelona,España | Primera División 24/25,LCB,33.0,182,Spain,Spain,2026-06-30,left,26,2546,39.32,88.98,61.53,96.6,76.07,62.19,26.17,54.45
36,M. Kumbulla,Espanyol,Espanyol,España | Primera División 24/25,"RCB, LCB",25.0,191,Italy,"Italy, Albania",2027-06-30,right,32,2984,83.87,45.3,69.66,30.63,34.17,60.84,69.51,47.04
37,Marcão,Sevilla,Sevilla,España | Primera División 24/25,"LCB, RCB",28.0,185,Brazil,Brazil,2027-06-30,left,11,532,25.9,22.59,64.22,40.34,47.23,76.42,60.05,75.12
38,Alejandro Catena,Osasuna,Osasuna,España | Primera División 24/25,"RCB, CB, LCB",30.0,194,Spain,Spain,2028-06-30,right,31,2986,50.49,65.32,66.89,55.32,34.32,67.87,63.25,62.23
39,C. Özkacar,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LCB, CB",24.0,190,Türkiye,Türkiye,2028-06-30,right,7,501,32.99,25.36,73.62,35.58,31.17,25.98,52.84,81.81
40,E. Cömert,Real Valladolid,Real Valladolid,España | Primera División 24/25,"RCB, CB",27.0,183,Switzerland,"Switzerland, Türkiye",2026-06-30,right,22,1665,41.86,32.87,56.99,32.62,45.78,22.14,26.26,58.62
41,J. Aidoo,Real Valladolid,Real Valladolid,España | Primera División 24/25,RCB,29.0,181,Ghana,Ghana,2026-06-30,right,8,592,32.76,40.76,53.45,37.14,60.34,38.99,78.59,30.52
42,N. Gudelj,Sevilla,Sevilla,España | Primera División 24/25,"LCB, RDMF, LDMF",33.0,187,Serbia,"Serbia, Netherlands",2026-06-30,right,27,2407,38.52,62.88,60.41,23.5,52.96,55.59,33.54,47.83
43,A. Witsel,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"RCB, CB",36.0,186,Belgium,"Belgium, Martinique",2025-06-30,right,12,856,25.9,54.01,63.79,43.13,59.56,78.26,82.43,64.83
44,A. Pelmard,Las Palmas,Las Palmas,España | Primera División 24/25,"RB, RCB",25.0,180,France,"France, Guadeloupe",2027-06-30,right,4,236,27.98,44.25,97.43,21.19,35.27,10.13,45.34,63.67
45,T. Nianzou,Sevilla,Sevilla,España | Primera División 24/25,"LCB, RCB",22.0,191,France,"France, Côte d'Ivoire",2027-06-30,right,6,577,30.15,28.36,40.7,23.93,54.61,74.33,28.2,27.82
46,E. Boyomo,Osasuna,Osasuna,España | Primera División 24/25,"LCB, RCB",23.0,181,France,"France, Cameroon",2029-05-30,right,33,3202,74.62,54.28,47.77,48.91,42.26,22.43,79.47,40.55
47,E. Bailly,Villarreal,Villarreal,España | Primera División 24/25,"LCB, RCB",31.0,187,Côte d'Ivoire,Côte d'Ivoire,2025-06-30,right,12,714,42.64,25.82,40.15,50.36,38.69,64.28,35.34,44.58
48,D. Blind,Girona,Girona,España | Primera División 24/25,"LB, LCB",35.0,180,Netherlands,"Netherlands, England",2026-06-30,left,30,2653,36.85,86.03,82.67,95.07,70.83,24.72,48.35,49.17
49,F. Lejeune,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,RCB,33.0,190,France,France,2027-06-30,right,34,3380,69.19,68.7,51.31,82.84,51.21,83.02,51.89,47.21
50,José Copete,Mallorca,Mallorca,España | Primera División 24/25,LCB,25.0,190,Spain,Spain,2026-06-30,left,24,1610,39.39,32.81,79.39,50.85,36.14,53.65,82.43,57.44
51,M. Caufriez,Salzburg,Valencia,España | Primera División 24/25,LCB,27.0,189,Belgium,Belgium,2026-06-30,right,1,100,25.9,22.25,8.33,3.86,18.54,33.62,92.52,37.58
52,A. Mumin,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,LCB,26.0,188,Ghana,"Ghana, Nigeria",2026-06-30,right,24,2236,72.66,31.85,35.0,25.75,36.84,42.98,64.03,60.37
53,Djené,Getafe,Getafe,España | Primera División 24/25,"RCB, RB, RCMF",33.0,178,Togo,Togo,2025-06-30,right,30,2712,30.42,69.58,51.53,36.26,20.68,37.51,19.76,29.77
54,David López,Girona,Girona,España | Primera División 24/25,"RCB, CB",35.0,185,Spain,Spain,2026-06-30,right,27,2472,66.43,49.63,63.06,76.07,89.73,37.17,39.88,41.89
55,D. Foulquier,Valencia,Valencia,España | Primera División 24/25,"RB, RCB",32.0,183,France,"France, Guadeloupe",2025-06-30,right,31,2496,33.47,83.27,75.29,58.76,44.56,9.96,32.14,21.49
56,A. Candela,Real Valladolid,Real Valladolid,España | Primera División 24/25,"RB, RCB, LB",25.0,185,Italy,Italy,2027-06-30,right,9,774,29.97,74.02,68.25,74.71,51.77,7.77,5.49,37.79
57,S. Van der Heyden,St. Pauli,Mallorca,España | Primera División 24/25,"LB, LCB",26.0,185,Belgium,Belgium,2028-06-30,left,2,112,38.01,69.21,11.6,80.75,58.69,73.24,83.69,26.84
58,Domingos Duarte,Getafe,Getafe,España | Primera División 24/25,RCB,30.0,190,Portugal,Portugal,2026-06-30,right,18,1696,63.62,39.7,44.68,32.31,22.52,45.89,9.22,45.24
59,Antonio Raíllo,Mallorca,Mallorca,España | Primera División 24/25,"LCB, CB, RCB",33.0,187,Spain,Spain,2026-06-30,right,32,3104,78.6,53.52,23.76,42.89,47.74,66.13,25.0,45.38
60,Marcos Alonso,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,LCB,34.0,188,Spain,Spain,2025-06-30,left,28,2659,67.42,77.3,87.04,95.24,86.26,52.14,35.95,53.96
61,O. El Hilali,Espanyol,Espanyol,España | Primera División 24/25,"RB, RCB",21.0,183,Spain,"Spain, Morocco",2027-06-30,right,33,3178,26.67,81.79,74.17,57.89,23.98,28.55,50.73,62.02
62,M. Diakhaby,Valencia,Valencia,España | Primera División 24/25,"LCB, RCB",28.0,189,France,"France, Guinea",2027-06-30,right,9,430,90.85,50.82,60.17,21.92,33.93,77.93,57.62,79.55
63,M. Diarra,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LCB, LB",24.0,185,France,"France, Mali",2028-06-30,left,25,2024,28.72,66.61,71.84,52.43,27.72,26.56,60.1,18.99
64,César Azpilicueta,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LCB, LB, RCB",35.0,178,Spain,Spain,2025-06-30,right,12,811,80.16,55.31,18.25,88.81,59.61,36.71,50.0,32.01
65,Javi Manquillo,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"RCB, LCB",30.0,178,Spain,Spain,2025-06-30,right,10,557,25.9,47.8,22.55,51.48,87.77,15.06,37.77,16.53
66,Sergio González,Leganés,Leganés,España | Primera División 24/25,"RCB, LCB, CB",33.0,189,Spain,Spain,2025-06-30,right,33,3086,75.61,36.0,52.04,42.86,43.67,43.35,34.76,53.93
67,Fernando Calero,Espanyol,Espanyol,España | Primera División 24/25,"CB, RCB, LCB",29.0,183,Spain,Spain,2026-06-30,right,17,592,77.18,23.61,51.63,22.35,31.02,27.61,91.24,92.21
68,F. Garcés,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,RCB,25.0,188,Argentina,"Argentina, Spain",,right,6,373,30.66,39.0,17.16,25.32,32.28,27.87,54.66,59.8
69,M. Nastasić,Leganés,Leganés,España | Primera División 24/25,"LCB, CB",32.0,188,Serbia,Serbia,2026-06-30,left,25,2244,55.91,35.79,26.77,23.76,28.64,57.54,51.07,60.33
70,Jorge Sáenz,Leganés,Leganés,España | Primera División 24/25,"RCB, CB",28.0,188,Spain,Spain,2025-06-30,right,19,1466,72.34,30.44,60.15,38.79,38.5,63.33,85.05,75.46
71,Javi Sánchez,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LCB, RCB, CB",28.0,189,Spain,Spain,2026-06-30,right,25,2227,69.43,57.13,42.18,33.79,47.77,23.75,45.1,43.69
72,Raúl Albiol,Villarreal,Villarreal,España | Primera División 24/25,RCB,39.0,190,Spain,Spain,2025-06-30,right,15,1327,26.51,33.74,50.36,47.23,63.59,57.68,30.39,38.08
73,Jailson,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"LCB, RCB, CB",29.0,187,Brazil,Brazil,2025-06-30,right,13,695,44.4,28.82,76.94,78.86,65.24,31.08,56.26,53.04
74,Unai García,Osasuna,Osasuna,España | Primera División 24/25,"CB, RCB",33.0,186,Spain,Spain,2025-06-30,right,2,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,L. Cabrera,Espanyol,Espanyol,España | Primera División 24/25,LCB,33.0,190,Uruguay,"Uruguay, Spain",2026-06-30,left,30,2876,81.84,66.53,29.05,58.08,25.15,77.09,54.37,56.56
76,Álex Suárez,Las Palmas,Las Palmas,España | Primera División 24/25,"RCB, RB",32.0,180,Spain,Spain,2026-06-30,right,28,2528,35.74,52.26,32.94,42.35,69.3,19.13,70.53,41.26
77,Álex Muñoz,Las Palmas,Las Palmas,España | Primera División 24/25,"LB, LCB",30.0,187,Spain,Spain,2026-06-30,left,20,1504,90.85,68.11,46.43,35.19,29.61,53.56,48.06,59.3
78,Juanpe,Girona,Girona,España | Primera División 24/25,RCB,34.0,190,Spain,Spain,2025-06-30,right,10,684,26.73,34.98,16.0,60.85,62.04,73.75,57.14,77.48
79,Juan Berrocal,Getafe,Getafe,España | Primera División 24/25,"RCB, LCB",26.0,184,Spain,Spain,2027-06-30,right,16,1061,40.28,46.32,8.54,18.57,19.81,82.82,61.7,26.84
80,Jesús Vallejo,Real Madrid,Real Madrid,España | Primera División 24/25,RCB,28.0,184,Spain,Spain,2025-06-30,right,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Marc Bartra,Real Betis,Real Betis,España | Primera División 24/25,RCB,34.0,184,Spain,Spain,2027-06-30,right,22,2025,86.26,66.53,64.34,65.7,41.5,63.31,46.89,84.85
82,Sergi Gómez,Espanyol,Espanyol,España | Primera División 24/25,"RCB, CB",33.0,185,Spain,Spain,2025-06-30,right,11,744,25.9,36.89,8.33,7.69,48.93,37.87,20.36,44.26
83,Aridane Hernández,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"LCB, RCB",36.0,188,Spain,"Spain, Equatorial Guinea",2025-06-30,right,12,932,48.84,37.95,54.59,39.3,34.47,70.44,57.09,62.08
84,Aritz Arambarri,Eibar,Leganés,España | Primera División 24/25,RCB,27.0,186,Spain,Spain,2027-06-30,right,2,195,28.33,24.82,8.93,16.82,22.18,52.34,66.31,41.2
85,A. Sedlar,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,LCB,33.0,180,Serbia,Serbia,2025-06-30,right,8,578,32.82,24.23,19.1,36.38,24.08,39.23,90.83,26.15
86,Ramón Martínez,Sevilla,Sevilla,España | Primera División 24/25,LCB,22.0,185,Spain,Spain,2027-06-30,right,2,106,25.9,22.25,79.27,43.81,39.78,84.55,55.1,56.29
87,Adrián Pica,Deportivo Alavés B,Deportivo Alavés,España | Primera División 24/25,"LCB, RCB",23.0,190,Spain,Spain,2026-06-30,right,8,559,51.59,51.51,10.41,50.46,24.08,70.23,90.46,72.63
88,Iker Córdoba,Valencia,Valencia,España | Primera División 24/25,"LB, LCB",19.0,190,Spain,Spain,2028-06-30,left,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Luken Beitia,Real Sociedad,Real Sociedad,España | Primera División 24/25,LCB,20.0,0,Spain,Spain,2029-06-30,right,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Juma Bah,Lens,Real Valladolid,España | Primera División 24/25,RCB,18.0,195,Sierra Leone,Sierra Leone,2025-06-30,right,12,962,35.62,24.33,69.37,17.21,30.83,79.18,66.72,68.6
91,Gorka Rivera,Getafe B,Getafe,España | Primera División 24/25,"LW, LB, LCB",20.0,175,Spain,Spain,,left,1,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,César Tárrega,Valencia,Valencia,España | Primera División 24/25,"RCB, CB",23.0,194,Spain,Spain,2028-06-30,right,30,2933,79.76,35.06,66.5,47.04,42.01,73.61,61.26,47.62
93,Kike Salas,Sevilla,Sevilla,España | Primera División 24/25,"LCB, LB",23.0,186,Spain,Spain,2025-06-30,left,27,2139,83.99,82.49,69.39,52.99,42.62,87.59,55.63,66.68
94,Jon Martín,Real Sociedad,Real Sociedad,España | Primera División 24/25,RCB,19.0,185,Spain,Spain,2030-06-30,right,11,792,53.93,48.8,8.5,41.17,54.61,88.94,65.68,69.01
95,David Torres,Real Valladolid,Real Valladolid,España | Primera División 24/25,LCB,22.0,182,Spain,Spain,2026-06-30,left,18,1514,32.07,45.27,42.89,65.15,30.58,31.42,55.49,46.43
96,David López,Mallorca,Mallorca,España | Primera División 24/25,RCB,22.0,195,Spain,Spain,2027-06-30,right,1,81,25.9,43.95,8.33,55.12,48.2,10.93,51.75,61.24
97,Pau Navarro,Villarreal,Villarreal,España | Primera División 24/25,"RB, LCB",20.0,185,Spain,Spain,2030-06-30,right,13,736,26.67,32.0,92.52,23.42,48.59,17.43,69.08,80.09
98,Pau Cubarsí,Barcelona,Barcelona,España | Primera División 24/25,"RCB, LCB",18.0,184,Spain,Spain,2029-06-30,right,31,2571,37.32,72.77,66.6,86.65,78.86,64.57,56.94,49.21
99,Sergi Domínguez,Barcelona Atlètic,Barcelona,España | Primera División 24/25,RCB,20.0,191,Spain,Spain,2027-06-30,right,3,185,25.9,22.25,8.33,84.3,76.21,15.4,79.66,52.5
100,Javi Rodríguez,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"RCB, RB",21.0,0,Spain,Spain,2028-06-30,right,32,2421,90.88,72.66,57.55,70.58,75.12,42.82,51.65,53.6
101,Yoel Lago,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"CB, RCB",21.0,0,Spain,Spain,2027-06-30,right,5,421,25.9,33.28,75.85,47.74,67.67,10.4,61.8,39.66
102,Jacobo Ramón,Real Madrid Castilla,Real Madrid,España | Primera División 24/25,LCB,20.0,188,Spain,Spain,2028-06-30,right,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Carlos Domínguez,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"LCB, CB",24.0,187,Spain,Spain,2026-06-30,left,15,1002,35.48,34.04,47.21,76.19,66.48,75.25,78.18,32.54
104,Raúl Asencio,Real Madrid,Real Madrid,España | Primera División 24/25,"RCB, LCB",22.0,184,Spain,Spain,2026-06-30,right,20,1559,26.45,56.62,82.09,30.97,64.66,54.81,46.31,39.76
105,Yarek Gasiorowski,Valencia,Valencia,España | Primera División 24/25,LCB,20.0,190,Spain,"Spain, Poland",2027-06-30,left,15,1069,39.31,42.87,41.19,49.37,51.87,52.43,24.47,73.14
106,S. Mouriño,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LCB, RCB, RB",23.0,186,Uruguay,Uruguay,2029-06-30,right,22,1761,53.43,74.49,55.0,42.48,40.95,31.46,63.57,45.77
107,Juanma Herzog,Las Palmas,Las Palmas,España | Primera División 24/25,"RCB, LCB, CB",20.0,186,Spain,"Spain, Germany",2025-06-30,right,15,1093,50.34,34.15,29.61,7.79,35.53,71.03,58.35,71.58
108,Pelayo Fernández,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,LCB,22.0,193,Spain,Spain,2028-06-30,right,2,112,25.9,22.25,9.76,3.71,17.62,17.73,17.35,27.62
109,W. Saliba,Arsenal,Arsenal,Inglaterra | Primera División 24/25,RCB,24.0,192,France,"France, Cameroon",2027-06-30,right,33,3202,74.44,46.74,72.45,42.99,88.76,54.5,80.09,23.38
110,Rúben Dias,Manchester City,Manchester City,Inglaterra | Primera División 24/25,"RCB, LCB",27.0,187,Portugal,Portugal,2027-06-30,right,24,2200,47.02,54.79,38.79,79.39,73.6,21.79,30.28,20.88
111,J. Gvardiol,Manchester City,Manchester City,Inglaterra | Primera División 24/25,"LB, LCB",23.0,185,Croatia,Croatia,2028-06-30,left,34,3271,95.64,83.36,67.1,92.5,86.33,47.17,48.83,68.66
112,Gabriel Magalhaes,Arsenal,Arsenal,Inglaterra | Primera División 24/25,LCB,27.0,190,Brazil,Brazil,2027-06-30,left,28,2617,88.29,67.85,66.94,56.73,77.99,80.24,30.05,24.3
113,M. de Ligt,Manchester United,Manchester United,Inglaterra | Primera División 24/25,"RCB, CB",25.0,189,Netherlands,Netherlands,2029-06-30,right,29,2354,82.59,44.68,65.61,12.99,50.09,69.3,65.79,45.66
114,C. Romero,Tottenham Hotspur,Tottenham Hotspur,Inglaterra | Primera División 24/25,RCB,27.0,185,Argentina,Argentina,2027-06-30,right,18,1565,78.07,77.09,35.26,87.1,61.92,57.08,49.37,68.61
115,M. van de Ven,Tottenham Hotspur,Tottenham Hotspur,Inglaterra | Primera División 24/25,LCB,24.0,193,Netherlands,Netherlands,2029-06-30,left,12,1036,45.25,58.87,71.92,73.13,66.64,54.54,26.78,33.48
116,L. Martínez,Manchester United,Manchester United,Inglaterra | Primera División 24/25,LCB,27.0,178,Argentina,Argentina,2027-06-30,left,20,1933,87.45,89.39,61.82,78.69,63.15,13.28,85.33,52.53
117,L. Colwill,Chelsea,Chelsea,Inglaterra | Primera División 24/25,LCB,22.0,187,England,England,2029-06-30,left,32,3211,63.42,55.97,49.79,67.5,83.04,73.18,67.2,34.14
118,I. Konaté,Liverpool,Liverpool,Inglaterra | Primera División 24/25,RCB,25.0,194,France,"France, Mali",2026-06-30,right,28,2569,69.34,79.01,59.37,69.21,65.49,78.84,66.78,53.96
119,M. Akanji,Manchester City,Manchester City,Inglaterra | Primera División 24/25,"RCB, LCB",29.0,187,Switzerland,"Switzerland, Nigeria",2027-06-30,right,23,1902,41.11,65.83,73.29,85.07,90.61,28.38,18.18,14.67
120,S. Botman,Newcastle United,Newcastle United,Inglaterra | Primera División 24/25,RCB,25.0,193,Netherlands,Netherlands,2027-06-30,left,5,265,50.98,24.4,78.67,48.41,37.52,75.08,95.51,63.73
121,Pau Torres,Aston Villa,Aston Villa,Inglaterra | Primera División 24/25,LCB,28.0,191,Spain,Spain,2028-06-30,left,21,2041,35.3,44.73,70.0,79.32,51.85,14.64,58.22,30.91
122,J. Branthwaite,Everton,Everton,Inglaterra | Primera División 24/25,LCB,22.0,195,England,England,2027-06-30,left,28,2599,43.71,48.27,17.78,62.34,42.22,61.41,59.21,73.8
123,N. Aké,Manchester City,Manchester City,Inglaterra | Primera División 24/25,"LCB, LB",30.0,180,Netherlands,"Netherlands, Côte d'Ivoire",2027-06-30,left,10,712,42.14,41.06,7.1,83.01,92.78,44.08,50.33,50.67
124,A. Disasi,Aston Villa,Aston Villa,Inglaterra | Primera División 24/25,"RB, RCB",27.0,190,France,"France, Congo DR",2029-06-30,right,13,945,67.93,67.69,61.54,71.36,75.47,68.63,21.82,36.67
125,J. Stones,Manchester City,Manchester City,Inglaterra | Primera División 24/25,"RCB, LCB",30.0,188,England,England,2026-06-30,right,11,602,86.28,23.41,49.23,52.29,67.1,46.69,20.56,33.77
126,M. Guéhi,Crystal Palace,Crystal Palace,Inglaterra | Primera División 24/25,"LCB, CB",24.0,182,Côte d'Ivoire,"Côte d'Ivoire, England",2026-06-30,right,33,3259,81.44,81.42,77.76,64.91,32.57,50.81,52.94,69.04
127,J. Andersen,Fulham,Fulham,Inglaterra | Primera División 24/25,"RCB, CB",28.0,192,Denmark,Denmark,2029-06-30,right,27,2655,41.18,41.93,58.46,80.14,51.96,68.1,57.62,67.91
128,E. Konsa,Aston Villa,Aston Villa,Inglaterra | Primera División 24/25,"RCB, RB",27.0,183,England,"England, Congo DR",2028-06-30,right,31,2988,60.11,42.01,79.7,25.79,66.31,32.16,34.81,33.33
129,J. Todibo,West Ham United,West Ham United,Inglaterra | Primera División 24/25,RCB,25.0,190,French Guiana,"French Guiana, France",2027-06-30,right,24,1716,30.78,24.2,45.4,18.93,42.34,21.6,92.76,70.45
