,Player,Team,Team within selected timeframe,Liga,Position,Age,Height,Birth country,Passport country,Contract expires,Foot,Matches played,Minutes played,Gol y Finalización,Asistencias y creación de chances,1v1 en ataque,Centros,Juego asociado,Juego aéreo,Defensa
44,P. Gueye,Villarreal,Villarreal,España | Primera División 24/25,"LCMF, RCMF",26.0,189,France,"France, Senegal",2028-06-30,left,30,2187,68.34,51.33,72.44,46.48,60.84,75.23,62.01
45,L. Modrić,Real Madrid,Real Madrid,España | Primera División 24/25,"LDMF, RCMF, RDMF",39.0,172,Croatia,Croatia,2025-06-30,right,31,1656,67.31,91.1,69.46,38.96,91.58,22.47,44.47
46,Dani Ceballos,Real Madrid,Real Madrid,España | Primera División 24/25,"RDMF, LCMF, LDMF",28.0,179,Spain,Spain,2027-06-30,right,19,1068,33.54,44.19,57.58,81.04,94.4,42.83,56.47
47,Fran Beltrán,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"RCMF, LCMF",26.0,165,Spain,Spain,2026-06-30,right,30,2298,57.45,39.04,20.38,59.56,74.14,42.39,50.85
48,D. van de Beek,Girona,Girona,España | Primera División 24/25,"AMF, RCMF",28.0,184,Netherlands,Netherlands,2028-06-30,right,26,1578,71.24,75.32,32.34,67.72,19.02,57.67,32.2
49,J. Rodríguez,León,Rayo Vallecano,España | Primera División 24/25,"AMF, CF",33.0,180,Colombia,"Colombia, Spain",2025-06-30,left,6,169,47.85,43.18,28.56,18.84,48.86,12.67,25.57
50,Ander Guevara,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"LDMF, RDMF, LCMF",27.0,180,Spain,Spain,2027-06-30,right,30,1893,24.46,35.5,39.56,40.92,34.32,62.63,79.05
51,Iñigo Ruiz de Galarreta,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"RDMF, LDMF",31.0,174,Spain,Spain,2025-06-30,right,22,1325,28.0,80.74,54.32,70.0,76.58,43.55,33.63
52,R. Tapia,Leganés,Leganés,España | Primera División 24/25,"RCMF, RDMF, LCB",29.0,185,Peru,"Peru, Netherlands",2026-06-30,right,30,2292,47.51,21.18,69.04,12.68,33.01,39.83,75.3
53,Iker Muñoz,Osasuna,Osasuna,España | Primera División 24/25,"DMF, RCMF, LDMF",22.0,180,Spain,Spain,2027-06-30,right,19,604,24.44,22.67,46.08,13.48,34.3,78.83,54.05
54,M. Arambarri,Getafe,Getafe,España | Primera División 24/25,"LCMF, RCMF",29.0,175,Uruguay,"Uruguay, Spain",2028-06-30,right,32,2666,92.62,28.45,57.52,37.24,29.6,87.36,59.34
55,A. Král,Espanyol,Espanyol,España | Primera División 24/25,"RCMF, LCMF, AMF",26.0,186,Slovakia,"Slovakia, Czech Republic",2025-06-30,right,34,2930,29.07,45.66,52.66,70.36,22.72,74.75,49.36
56,Stoichkov,Granada,Deportivo Alavés,España | Primera División 24/25,"AMF, CF, LAMF",31.0,178,Spain,Spain,2027-06-30,right,16,791,41.25,74.2,62.7,52.16,40.8,31.97,6.9
57,Jon Guridi,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"AMF, CF",30.0,179,Spain,Spain,2026-06-30,left,29,1970,74.11,49.09,26.84,37.2,23.16,73.59,37.5
58,E. Loiodice,Las Palmas,Las Palmas,España | Primera División 24/25,"RDMF, RCMF",24.0,176,France,France,2026-06-30,left,15,581,28.17,26.05,22.04,15.48,42.98,61.07,42.14
59,Mikel Vesga,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"LDMF, LCMF",32.0,191,Spain,Spain,2027-06-30,left,22,983,39.9,38.44,19.72,71.44,45.84,60.55,47.25
60,Óscar Valentín,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"RDMF, LDMF, LCMF",30.0,177,Spain,Spain,2027-06-30,right,31,1890,21.17,40.9,33.54,64.32,54.42,56.45,88.25
61,Lucas Torró,Osasuna,Osasuna,España | Primera División 24/25,"DMF, LCMF, LDMF",30.0,190,Spain,Spain,2027-06-30,right,31,2881,65.52,21.21,22.2,9.72,44.96,96.8,74.21
62,Joan Jordán,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"RDMF, RCMF, LCMF",30.0,185,Spain,Spain,2027-06-30,right,23,1509,83.55,69.89,32.98,59.12,69.84,60.05,43.98
63,Dário Essugo,Las Palmas,Las Palmas,España | Primera División 24/25,"RDMF, RCMF, LDMF",20.0,178,Portugal,"Portugal, Angola",2027-06-30,right,23,1840,48.48,22.18,69.08,9.8,48.12,79.63,88.37
64,Moi Gómez,Osasuna,Osasuna,España | Primera División 24/25,"LCMF, LW, LWF",30.0,176,Spain,Spain,2027-06-30,right,25,928,27.87,55.14,47.84,93.52,40.76,17.19,26.51
65,Luis Milla,Getafe,Getafe,España | Primera División 24/25,"LCMF, RCMF, DMF",30.0,175,Spain,Spain,2027-06-30,right,30,2870,43.5,73.52,75.28,73.04,39.92,55.39,44.28
66,Kike Pérez,Venezia,Real Valladolid,España | Primera División 24/25,"RCMF, LCMF",28.0,184,Spain,Spain,2025-06-30,left,19,1292,74.09,41.62,46.44,25.4,42.3,40.07,50.38
67,L. de la Torre,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,RCMF,26.0,177,United States,"United States, Spain",2026-06-30,right,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Peque Fernández,Sevilla,Sevilla,España | Primera División 24/25,"AMF, CF, LAMF",22.0,172,Spain,Spain,2028-06-30,right,23,1135,63.57,58.38,72.82,26.04,38.42,32.11,19.58
69,Javi Muñoz,Las Palmas,Las Palmas,España | Primera División 24/25,"AMF, RCMF, RDMF",30.0,179,Spain,Spain,2025-06-30,right,33,2769,48.75,75.78,43.7,81.48,56.11,23.43,47.12
70,Gerard Gumbau,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"LDMF, LCMF, AMF",30.0,187,Spain,Spain,2027-06-30,left,19,878,46.37,51.36,25.58,66.56,26.66,74.67,57.03
71,Unai López,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"LDMF, LCMF, RDMF",29.0,170,Spain,Spain,2026-06-30,right,28,1623,68.25,52.94,38.42,46.08,72.0,49.68,56.66
72,Pablo Torre,Barcelona,Barcelona,España | Primera División 24/25,"RCMF, LAMF, AMF",22.0,173,Spain,Spain,2026-06-30,right,10,343,77.79,79.43,64.0,40.32,76.38,25.47,27.51
73,Ilaix Moriba,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"LCMF, RCMF",22.0,185,Guinea,"Guinea, Spain",2026-06-30,right,29,1940,43.17,61.79,75.76,72.0,59.7,57.47,61.08
74,William Carvalho,Real Betis,Real Betis,España | Primera División 24/25,"LDMF, RDMF",33.0,187,Angola,"Angola, Portugal",2026-06-30,right,10,428,24.94,25.53,33.94,12.08,87.32,64.55,34.96
75,Álvaro Aguado,Espanyol,Espanyol,España | Primera División 24/25,"LCMF, RCMF",29.0,175,Spain,Spain,2025-06-30,right,15,504,36.42,57.09,54.8,64.52,56.06,63.39,46.67
76,José Gragera,Espanyol,Espanyol,España | Primera División 24/25,"LCMF, RDMF, DMF",24.0,187,Spain,Spain,2028-06-30,right,10,635,21.12,12.1,24.94,9.36,21.66,75.95,74.16
77,Roberto López,Leganés,Leganés,España | Primera División 24/25,"AMF, LCMF, RW",25.0,179,Spain,Spain,2027-06-30,left,13,464,40.32,61.33,12.02,77.36,21.6,50.67,22.22
78,Manu Morlanes,Mallorca,Mallorca,España | Primera División 24/25,"RCMF, LCMF, LDMF",26.0,178,Spain,Spain,2028-06-30,right,21,1416,25.9,36.63,44.6,66.32,68.73,42.45,74.85
79,Pedro Díaz,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"RDMF, AMF, RCMF",26.0,180,Spain,Spain,2028-06-30,right,22,1151,86.41,66.45,78.48,44.24,40.8,17.87,36.23
80,P. Ciss,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,"RDMF, LDMF, RCMF",31.0,186,Senegal,Senegal,2025-06-30,right,30,2070,78.52,40.76,42.3,29.32,72.06,93.81,71.37
81,Pablo Ibáñez,Osasuna,Osasuna,España | Primera División 24/25,RCMF,26.0,179,Spain,Spain,2025-06-30,right,24,1159,61.43,25.11,76.14,53.76,34.96,44.67,64.27
82,Dani Parejo,Villarreal,Villarreal,España | Primera División 24/25,"LCMF, RCMF",36.0,182,Spain,Spain,2026-06-30,right,32,2312,71.47,58.07,41.06,61.8,64.9,65.21,63.97
83,Hugo Sotelo,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"LCMF, RCMF",21.0,180,Spain,Spain,2028-06-30,right,22,1357,21.01,51.59,24.8,46.88,63.34,12.75,26.24
84,Edu Expósito,Espanyol,Espanyol,España | Primera División 24/25,"AMF, RCMF",28.0,178,Spain,Spain,2027-06-30,right,15,781,39.96,83.0,79.86,66.64,34.64,29.43,26.97
85,Víctor Meseguer,Racing Santander,Real Valladolid,España | Primera División 24/25,"RDMF, LCMF, RCMF",25.0,184,Spain,Spain,2029-06-30,right,14,502,29.19,26.49,6.62,63.24,43.24,48.03,30.88
86,S. Jurić,Real Valladolid,Real Valladolid,España | Primera División 24/25,"DMF, RCMF, LDMF",28.0,188,Croatia,Croatia,2027-06-30,right,26,1898,28.43,25.09,13.62,9.36,45.67,89.47,79.33
87,Ander Herrera,Boca Juniors,Athletic Bilbao,España | Primera División 24/25,"RDMF, LCMF, LDMF",35.0,182,Spain,Spain,2025-06-30,right,8,305,51.57,59.28,61.88,79.52,81.94,55.77,64.93
88,Kenedy,Real Valladolid,Real Valladolid,España | Primera División 24/25,LCMF,28.0,180,Brazil,Brazil,2027-06-30,left,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Y. Neyou,Leganés,Leganés,España | Primera División 24/25,"LCMF, RCMF, LDMF",28.0,180,Cameroon,"Cameroon, France",2025-06-30,right,28,2373,43.34,31.22,67.86,64.12,50.02,68.21,54.27
90,Oriol Romeu,Girona,Girona,España | Primera División 24/25,"LCMF, RDMF, LDMF",33.0,183,Spain,Spain,2026-06-30,right,22,1347,21.25,34.85,35.4,61.6,49.52,36.07,69.06
91,Pol Lozano,Espanyol,Espanyol,España | Primera División 24/25,"LCMF, DMF, LDMF",25.0,176,Spain,Spain,2027-06-30,right,27,1917,22.94,40.98,23.08,74.56,56.16,26.55,64.34
92,Iker Losada,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"AMF, RWF, LCMF",23.0,175,Spain,Spain,2029-06-30,right,20,780,68.04,63.94,66.34,86.32,41.18,14.93,21.55
93,Pablo Marín,Real Sociedad,Real Sociedad,España | Primera División 24/25,"LCMF, RCMF",21.0,178,Spain,Spain,2028-06-30,right,19,1047,36.76,68.64,59.12,33.52,32.29,55.11,57.38
94,S. Amallah,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LCMF, AMF, CF",28.0,185,Belgium,"Belgium, Morocco",2027-06-30,right,22,1358,80.97,52.84,78.1,46.88,41.82,18.43,33.98
95,C. Protesoni,Deportivo Alavés,Deportivo Alavés,España | Primera División 24/25,"RCMF, LDMF, RDMF",27.0,180,Uruguay,"Uruguay, Italy",2026-06-30,right,14,479,54.46,56.53,50.58,72.24,28.82,74.27,65.74
96,José Campaña,Las Palmas,Las Palmas,España | Primera División 24/25,"DMF, LDMF, LCMF",31.0,179,Spain,Spain,2025-06-30,right,23,1207,24.81,63.8,50.32,83.88,70.07,75.25,52.85
97,S. Cissé,Leganés,Leganés,España | Primera División 24/25,"RCMF, LCMF, LDMF",24.0,178,Guinea,Guinea,2026-06-30,right,30,2241,62.17,26.27,58.42,21.24,34.34,49.29,36.73
98,Javi Martínez,Eibar,Osasuna,España | Primera División 24/25,DMF,25.0,181,Spain,Spain,2026-06-30,right,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Jon Ander Olasagasti,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RCMF, LCMF",24.0,176,Spain,Spain,2025-06-30,left,20,881,56.48,68.81,28.84,29.2,40.44,58.55,50.13
100,Urko González,Espanyol,Espanyol,España | Primera División 24/25,"LDMF, RDMF, LCMF",24.0,189,Spain,Spain,2028-06-30,right,14,1160,21.43,40.44,41.28,10.24,38.0,55.15,71.47
101,Ó. Trejo,Rayo Vallecano,Rayo Vallecano,España | Primera División 24/25,AMF,37.0,180,Argentina,"Argentina, Italy",2025-06-30,right,16,556,63.3,43.83,61.06,89.04,50.34,36.35,51.39
102,Omar Mascarell,Mallorca,Mallorca,España | Primera División 24/25,"RCMF, LCMF, RDMF",32.0,181,Spain,Spain,2026-06-30,right,28,1892,20.51,18.16,19.7,10.08,37.34,87.19,66.03
103,Fabio González,Tenerife,Las Palmas,España | Primera División 24/25,DMF,27.0,176,Spain,Spain,2025-06-30,right,2,65,28.21,19.23,2.2,96.4,65.12,20.35,73.95
104,Damián Rodríguez,Celta de Vigo,Celta de Vigo,España | Primera División 24/25,"RCMF, LCMF",22.0,180,Spain,Spain,2028-06-30,left,16,1004,19.77,39.31,10.9,68.0,66.04,5.83,29.47
105,J. Smith,Espanyol B,Espanyol,España | Primera División 24/25,"LCMF, RCMF",22.0,189,France,"France, Canada",2026-06-30,right,5,231,19.05,15.66,31.1,11.88,14.62,75.47,90.03
106,T. Nikitscher,Real Valladolid,Real Valladolid,España | Primera División 24/25,"DMF, LCMF, LDMF",25.0,193,Hungary,Hungary,2026-06-30,right,9,628,21.79,12.63,46.18,9.36,22.42,59.15,64.21
107,M. Maroto,Real Valladolid,Real Valladolid,España | Primera División 24/25,LDMF,21.0,176,Spain,Spain,2025-06-30,left,1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,A. Arnu,Real Valladolid Promesas,Real Valladolid,España | Primera División 24/25,"AMF, CF",18.0,185,Spain,Spain,2027-06-30,right,3,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,N. Aberdin,Getafe,Getafe,España | Primera División 24/25,"LDMF, DMF, RDMF",22.0,192,France,"France, Morocco",2025-06-30,right,7,299,21.94,35.31,56.0,9.36,10.12,87.91,50.07
110,Mateo Flores,Real Betis,Real Betis,España | Primera División 24/25,"RDMF, LCMF, RCMF",21.0,0,Spain,Spain,2025-06-30,left,6,190,19.05,14.76,12.08,86.8,23.46,11.59,26.17
111,A. Bassinga,Las Palmas,Las Palmas,España | Primera División 24/25,AMF,19.0,0,Côte d'Ivoire,Côte d'Ivoire,2026-06-30,unknown,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Javi Llabrés,Eldense,Mallorca,España | Primera División 24/25,LDMF,22.0,174,Spain,Spain,2026-06-30,right,1,60,19.05,62.4,68.8,61.6,26.34,79.81,20.76
113,Rafel Bauzà,Espanyol,Espanyol,España | Primera División 24/25,"RCMF, DMF, RDMF",20.0,183,Spain,Spain,2028-06-30,right,5,207,30.86,17.1,45.16,12.24,16.24,83.59,67.15
114,Carlos Guirao,Real Betis,Real Betis,España | Primera División 24/25,"LDMF, RDMF",21.0,0,Spain,Spain,2025-06-30,unknown,2,122,19.05,13.27,31.94,9.36,26.82,32.69,74.6
115,T. Ojeda,Villarreal B,Villarreal,España | Primera División 24/25,RCMF,22.0,187,Argentina,Argentina,2025-06-30,right,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Marc Bernal,Barcelona Atlètic,Barcelona,España | Primera División 24/25,RDMF,17.0,188,Spain,Spain,2026-06-30,left,3,272,26.79,12.19,48.2,9.36,52.64,29.75,51.88
117,Chema Andrés,Real Madrid Castilla,Real Madrid,España | Primera División 24/25,RCMF,19.0,190,Spain,Spain,2027-06-30,right,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Silvi Clúa,Girona,Girona,España | Primera División 24/25,"DMF, LCMF, RDMF",19.0,189,Spain,Spain,2025-06-30,left,4,178,35.46,21.95,48.64,9.36,37.78,96.03,78.17
119,Fermín López,Barcelona,Barcelona,España | Primera División 24/25,"AMF, RCMF",21.0,174,Spain,Spain,2029-06-30,right,24,1133,90.01,90.4,81.4,78.48,71.16,25.67,37.79
120,Gavi,Barcelona,Barcelona,España | Primera División 24/25,"AMF, RDMF, RCMF",20.0,173,Spain,Spain,2025-06-30,right,22,989,60.69,77.8,74.04,64.4,74.22,58.87,62.71
121,Chuki,Real Valladolid,Real Valladolid,España | Primera División 24/25,RCMF,21.0,0,Spain,Spain,2025-06-30,left,16,724,69.15,53.54,55.14,69.92,16.66,7.99,19.13
122,Mario Martín,Real Valladolid,Real Valladolid,España | Primera División 24/25,"LCMF, RCMF, RDMF",21.0,178,Spain,Spain,2026-06-30,right,28,1765,37.63,49.54,72.04,24.16,44.88,59.77,76.7
123,Mikel Jauregizar,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"RDMF, LDMF, RCMF",21.0,185,Spain,Spain,2027-06-30,right,30,2148,61.63,51.76,52.82,29.92,59.99,53.43,71.15
124,Arkaitz Mariezkurrena,Real Sociedad,Real Sociedad,España | Primera División 24/25,"RCMF, CF, LW",20.0,0,Spain,Spain,2029-06-30,left,5,137,81.6,34.24,58.58,17.16,9.52,80.63,45.43
125,Unai Gómez,Athletic Bilbao,Athletic Bilbao,España | Primera División 24/25,"AMF, CF, LDMF",21.0,183,Spain,Spain,2028-06-30,left,28,1219,61.33,35.65,53.52,27.4,10.56,70.75,13.54
126,Peio Canales ,Bilbao Athletic,Athletic Bilbao,España | Primera División 24/25,"AMF, CF",20.0,175,Spain,Spain,2027-06-30,right,7,219,38.6,26.01,63.52,14.92,23.44,6.43,7.49
127,Manu Bueno,Sevilla,Sevilla,España | Primera División 24/25,"RCMF, AMF, LCMF",20.0,178,Spain,Spain,2026-06-30,left,7,143,63.04,20.62,72.26,89.8,35.16,6.31,30.14
128,Jan Salas,Mallorca B,Mallorca,España | Primera División 24/25,"LCMF, LWF, LAMF",19.0,182,Spain,Spain,2025-06-30,right,3,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,J. Solís,Girona,Girona,España | Primera División 24/25,"LDMF, LCMF, RCMF",20.0,186,Colombia,Colombia,2028-06-30,right,15,547,63.56,38.84,37.52,62.4,60.99,27.09,71.63
130,Pablo Barrios,Atlético Madrid,Atlético Madrid,España | Primera División 24/25,"LCMF, RCMF",21.0,181,Spain,Spain,2028-06-30,right,28,2419,50.74,54.69,51.36,45.04,64.28,73.35,51.65
